,district,elevation,Area,lat,lng,Year,Disaster Internal Displacements,Hazard Type,total_precip,drought_index,total solar,heavy rain,storm days,extreme temp,severerisk,low_pressure_days,pressure_anomaly,Country / Territory,population,Count of Disasters,pdensity,distancetowater,distancetowater1,distancetowater2,Country Code,gdp
70,mbarara,1450,1241594350.0,-0.6133,30.6583,2021,720,Flood,1507.4,85.0,7146.4,207.0,0.0,0.0,0.0,0.0,171.0,Uganda,516931.4153631596,12,416.3448515718194,30886.63272,31700.68099,34637.28552,UGA,40529788744.0595
71,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,50,Flood,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
72,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,22,Mass Movement,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
73,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,240,Mass Movement,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
74,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,95,Storm,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
75,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,1300,Storm,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
76,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,460,Storm,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
77,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,150,Storm,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
78,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,140,Mass Movement,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
79,mbarara,1450,1241594350.0,-0.6133,30.6583,2022,420,Flood,1297.5,75.0,7080.1,213.0,0.0,0.0,0.0,0.0,187.0,Uganda,532646.1303901996,11,429.0017350596027,30886.63272,31700.68099,34637.28552,UGA,45565333216.4142
